"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Essex County, MA"	"25009"	93	785205	1.18
	"Hampden County, MA"	"25013"	53	469818	1.13
	"Hampshire County, MA"	"25015"	17	161834	Unreliable
	"Middlesex County, MA"	"25017"	161	1602947	1.00
	"Norfolk County, MA"	"25021"	56	700322	0.80
	"Plymouth County, MA"	"25023"	45	515142	0.87
	"Suffolk County, MA"	"25025"	35	797939	0.44
	"Worcester County, MA"	"25027"	89	826116	1.08
	"Allegan County, MI"	"26005"	15	116447	Unreliable
	"Alpena County, MI"	"26007"	12	28462	Unreliable
	"Bay County, MI"	"26017"	20	104239	1.92
	"Berrien County, MI"	"26021"	25	154259	1.62
	"Calhoun County, MI"	"26025"	31	134128	2.31
	"Cass County, MI"	"26027"	15	51381	Unreliable
	"Clinton County, MI"	"26037"	13	78443	Unreliable
	"Crawford County, MI"	"26039"	10	13907	Unreliable
	"Eaton County, MI"	"26045"	24	109027	2.20
	"Genesee County, MI"	"26049"	64	407385	1.57
	"Grand Traverse County, MI"	"26055"	18	91807	Unreliable
	"Ingham County, MI"	"26065"	39	290186	1.34
	"Ionia County, MI"	"26067"	16	64291	Unreliable
	"Isabella County, MI"	"26073"	13	71063	Unreliable
	"Jackson County, MI"	"26075"	19	158640	Unreliable
	"Kalamazoo County, MI"	"26077"	33	262985	1.25
	"Kent County, MI"	"26081"	77	648594	1.19
	"Lapeer County, MI"	"26087"	14	88174	Unreliable
	"Livingston County, MI"	"26093"	26	189651	1.37
	"Macomb County, MI"	"26099"	129	871375	1.48
	"Marquette County, MI"	"26103"	16	66502	Unreliable
	"Mason County, MI"	"26105"	10	29073	Unreliable
	"Mecosta County, MI"	"26107"	12	43391	Unreliable
	"Monroe County, MI"	"26115"	22	149649	1.47
	"Montcalm County, MI"	"26117"	12	63550	Unreliable
	"Muskegon County, MI"	"26121"	32	173693	1.84
	"Newaygo County, MI"	"26123"	12	48242	Unreliable
	"Oakland County, MI"	"26125"	148	1250836	1.18
	"Ottawa County, MI"	"26139"	25	286383	0.87
	"Roscommon County, MI"	"26143"	11	23895	Unreliable
	"Saginaw County, MI"	"26145"	30	191934	1.56
	"St. Clair County, MI"	"26147"	32	159350	2.01
	"St. Joseph County, MI"	"26149"	12	60947	Unreliable
	"Shiawassee County, MI"	"26155"	18	68446	Unreliable
	"Tuscola County, MI"	"26157"	10	52764	Unreliable
	"Van Buren County, MI"	"26159"	13	75353	Unreliable
	"Washtenaw County, MI"	"26161"	42	367627	1.14
	"Wayne County, MI"	"26163"	203	1753616	1.16
	"Anoka County, MN"	"27003"	48	351373	1.37
	"Benton County, MN"	"27009"	10	39937	Unreliable
	"Carver County, MN"	"27019"	17	102119	Unreliable
	"Clay County, MN"	"27027"	13	63569	Unreliable
	"Crow Wing County, MN"	"27035"	11	64424	Unreliable
	"Dakota County, MN"	"27037"	59	421751	1.40
	"Hennepin County, MN"	"27053"	155	1252024	1.24
	"Itasca County, MN"	"27061"	14	45137	Unreliable
	"Olmsted County, MN"	"27109"	11	154930	Unreliable
	"Otter Tail County, MN"	"27111"	11	58345	Unreliable
	"Ramsey County, MN"	"27123"	81	547974	1.48
	"St. Louis County, MN"	"27137"	38	200000	1.90
	"Scott County, MN"	"27139"	11	145827	Unreliable
	"Sherburne County, MN"	"27141"	14	94570	Unreliable
	"Stearns County, MN"	"27145"	21	157822	1.33
	"Washington County, MN"	"27163"	35	256348	1.37
	"Wright County, MN"	"27171"	19	134286	Unreliable
	"DeSoto County, MS"	"28033"	27	178751	1.51
	"Forrest County, MS"	"28035"	13	75471	Unreliable
	"Hancock County, MS"	"28045"	11	47053	Unreliable
	"Harrison County, MS"	"28047"	53	205027	2.59
	"Hinds County, MS"	"28049"	22	239497	0.92
	"Jackson County, MS"	"28059"	25	142152	1.76
	"Jones County, MS"	"28067"	11	67930	Unreliable
	"Lamar County, MS"	"28073"	10	61374	Unreliable
	"Lee County, MS"	"28081"	13	84933	Unreliable
	"Lowndes County, MS"	"28087"	10	59186	Unreliable
	"Madison County, MS"	"28089"	17	104618	Unreliable
	"Pearl River County, MS"	"28109"	14	55270	Unreliable
	"Rankin County, MS"	"28121"	26	152080	1.71
	"Boone County, MO"	"29019"	18	178271	Unreliable
	"Buchanan County, MO"	"29021"	17	89065	Unreliable
	"Butler County, MO"	"29023"	10	42666	Unreliable
	"Camden County, MO"	"29029"	12	45632	Unreliable
	"Cass County, MO"	"29037"	19	103724	Unreliable
	"Christian County, MO"	"29043"	19	85432	Unreliable
	"Clay County, MO"	"29047"	45	242874	1.85
	"Cole County, MO"	"29051"	10	76708	Unreliable
	"Franklin County, MO"	"29071"	23	103330	2.23
	"Greene County, MO"	"29077"	70	289805	2.42
	"Howell County, MO"	"29091"	15	40103	Unreliable
	"Jackson County, MO"	"29095"	143	698895	2.05
	"Jasper County, MO"	"29097"	40	120217	3.33
	"Jefferson County, MO"	"29099"	56	223810	2.50
	"Johnson County, MO"	"29101"	10	53897	Unreliable
	"Lincoln County, MO"	"29113"	12	56183	Unreliable
	"Newton County, MO"	"29145"	10	58290	Unreliable
	"Phelps County, MO"	"29161"	11	44744	Unreliable
	"Platte County, MO"	"29165"	20	101187	1.98
	"Pulaski County, MO"	"29169"	12	52059	Unreliable
	"St. Charles County, MO"	"29183"	59	395504	1.49
	"St. Francois County, MO"	"29187"	14	66705	Unreliable
	"St. Louis County, MO"	"29189"	140	996726	1.40
	"Taney County, MO"	"29213"	12	55355	Unreliable
	"Warren County, MO"	"29219"	11	34373	Unreliable
	"St. Louis city, MO"	"29510"	43	308626	1.39
	"Cascade County, MT"	"30013"	29	81654	3.55
	"Flathead County, MT"	"30029"	24	100000	2.40
	"Gallatin County, MT"	"30031"	25	107810	2.32
	"Lake County, MT"	"30047"	17	30273	Unreliable
	"Lewis and Clark County, MT"	"30049"	21	67773	3.10
	"Missoula County, MT"	"30063"	33	117441	2.81
	"Ravalli County, MT"	"30081"	13	42563	Unreliable
	"Silver Bow County, MT"	"30093"	18	34602	Unreliable
	"Yellowstone County, MT"	"30111"	42	158980	2.64
	"Buffalo County, NE"	"31019"	11	49732	Unreliable
	"Douglas County, NE"	"31055"	69	561620	1.23
	"Lancaster County, NE"	"31109"	47	314358	1.50
	"Sarpy County, NE"	"31153"	16	181439	Unreliable
	"Clark County, NV"	"32003"	433	2204079	1.96
	"Douglas County, NV"	"32005"	15	48309	Unreliable
	"Elko County, NV"	"32007"	17	52649	Unreliable
	"Lyon County, NV"	"32019"	17	54122	Unreliable
	"Nye County, NV"	"32023"	16	44202	Unreliable
	"Washoe County, NV"	"32031"	96	460587	2.08
	"Carson City, NV"	"32510"	18	54745	Unreliable
	"Carroll County, NH"	"33003"	10	48064	Unreliable
	"Cheshire County, NH"	"33005"	20	75960	2.63
	"Grafton County, NH"	"33009"	15	89386	Unreliable
	"Hillsborough County, NH"	"33011"	87	409697	2.12
	"Merrimack County, NH"	"33013"	29	149216	1.94
	"Rockingham County, NH"	"33015"	64	306363	2.09
	"Strafford County, NH"	"33017"	15	128613	Unreliable
	"Sullivan County, NH"	"33019"	11	43077	Unreliable
	"Atlantic County, NJ"	"34001"	47	269918	1.74
	"Bergen County, NJ"	"34003"	71	948406	0.75
	"Burlington County, NJ"	"34005"	47	448596	1.05
	"Camden County, NJ"	"34007"	53	510719	1.04
	"Cape May County, NJ"	"34009"	10	93553	Unreliable
	"Cumberland County, NJ"	"34011"	13	152538	Unreliable
	"Essex County, NJ"	"34013"	42	808285	0.52
	"Gloucester County, NJ"	"34015"	40	292206	1.37
	"Hudson County, NJ"	"34017"	51	691643	0.74
	"Hunterdon County, NJ"	"34019"	10	125059	Unreliable
	"Mercer County, NJ"	"34021"	43	374733	1.15
	"Middlesex County, NJ"	"34023"	57	842798	0.68
	"Monmouth County, NJ"	"34025"	67	626351	1.07
	"Morris County, NJ"	"34027"	38	499693	0.76
	"Ocean County, NJ"	"34029"	63	597943	1.05
	"Passaic County, NJ"	"34031"	38	512607	0.74
	"Somerset County, NJ"	"34035"	24	335432	0.72
	"Union County, NJ"	"34039"	47	563892	0.83
	"Warren County, NJ"	"34041"	18	106798	Unreliable
	"Bernalillo County, NM"	"35001"	163	676773	2.41
	"Chaves County, NM"	"35005"	11	64866	Unreliable
	"Dona Ana County, NM"	"35013"	36	215579	1.67
	"Eddy County, NM"	"35015"	16	56997	Unreliable
	"Lea County, NM"	"35025"	10	68759	Unreliable
	"Lincoln County, NM"	"35027"	10	19395	Unreliable
	"McKinley County, NM"	"35031"	19	72564	Unreliable
	"Otero County, NM"	"35035"	24	65817	3.65
	"Sandoval County, NM"	"35043"	22	142507	1.54
	"San Juan County, NM"	"35045"	37	126926	2.92
	"Santa Fe County, NM"	"35049"	42	148750	2.82
	"Taos County, NM"	"35055"	14	32795	Unreliable
	"Valencia County, NM"	"35061"	18	75940	Unreliable
	"Albany County, NY"	"36001"	31	309612	1.00
	"Bronx County, NY"	"36005"	82	1471160	0.56
	"Broome County, NY"	"36007"	26	193639	1.34
	"Cattaraugus County, NY"	"36009"	15	77348	Unreliable
	"Chautauqua County, NY"	"36013"	21	129046	1.63
	"Dutchess County, NY"	"36027"	41	295568	1.39
	"Erie County, NY"	"36029"	115	925528	1.24
	"Greene County, NY"	"36039"	12	47470	Unreliable
	"Jefferson County, NY"	"36045"	17	114187	Unreliable
	"Kings County, NY"	"36047"	142	2648771	0.54
	"Livingston County, NY"	"36051"	10	63799	Unreliable
	"Monroe County, NY"	"36055"	69	747642	0.92
	"Nassau County, NY"	"36059"	80	1369514	0.58
	"New York County, NY"	"36061"	154	1664727	0.93
	"Niagara County, NY"	"36063"	25	211328	1.18
	"Oneida County, NY"	"36065"	25	231332	1.08
	"Onondaga County, NY"	"36067"	40	465398	0.86
	"Ontario County, NY"	"36069"	10	109899	Unreliable
	"Orange County, NY"	"36071"	38	382226	0.99
	"Oswego County, NY"	"36075"	24	118478	2.03
	"Putnam County, NY"	"36079"	11	99323	Unreliable
	"Queens County, NY"	"36081"	140	2358582	0.59
	"Rensselaer County, NY"	"36083"	16	159722	Unreliable
	"Richmond County, NY"	"36085"	38	479458	0.79
	"Rockland County, NY"	"36087"	25	328868	0.76
	"St. Lawrence County, NY"	"36089"	14	109623	Unreliable
	"Saratoga County, NY"	"36091"	24	229869	1.04
	"Schenectady County, NY"	"36093"	14	155565	Unreliable
	"Steuben County, NY"	"36101"	18	96281	Unreliable
	"Suffolk County, NY"	"36103"	127	1492953	0.85
	"Tompkins County, NY"	"36109"	12	104802	Unreliable
	"Ulster County, NY"	"36111"	23	179417	1.28
	"Wayne County, NY"	"36117"	13	90670	Unreliable
	"Westchester County, NY"	"36119"	76	980244	0.78
	"Wyoming County, NY"	"36121"	10	40493	Unreliable
	"Alamance County, NC"	"37001"	30	162391	1.85
	"Beaufort County, NC"	"37013"	11	47088	Unreliable
	"Brunswick County, NC"	"37019"	20	130897	1.53
	"Buncombe County, NC"	"37021"	57	257607	2.21
	"Burke County, NC"	"37023"	16	89293	Unreliable
	"Cabarrus County, NC"	"37025"	25	206872	1.21
	"Caldwell County, NC"	"37027"	14	81981	Unreliable
	"Carteret County, NC"	"37031"	17	68881	Unreliable
	"Catawba County, NC"	"37035"	23	157974	1.46
	"Chatham County, NC"	"37037"	11	71472	Unreliable
	"Cleveland County, NC"	"37045"	19	97334	Unreliable
	"Craven County, NC"	"37049"	17	102578	Unreliable
	"Cumberland County, NC"	"37051"	53	332546	1.59
	"Dare County, NC"	"37055"	11	36099	Unreliable
	"Davidson County, NC"	"37057"	31	165466	1.87
	"Davie County, NC"	"37059"	10	42456	Unreliable
	"Durham County, NC"	"37063"	34	311640	1.09
	"Forsyth County, NC"	"37067"	46	376320	1.22
	"Franklin County, NC"	"37069"	10	66168	Unreliable
	"Gaston County, NC"	"37071"	32	220182	1.45
	"Guilford County, NC"	"37081"	63	526953	1.20
	"Harnett County, NC"	"37085"	19	132754	Unreliable
	"Haywood County, NC"	"37087"	18	61084	Unreliable
	"Henderson County, NC"	"37089"	23	115708	1.99
	"Iredell County, NC"	"37097"	26	175711	1.48
