"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Crook County, OR"	"41013"	Suppressed	109136	Suppressed	Suppressed
	"Curry County, OR"	"41015"	Suppressed	112539	Suppressed	Suppressed
	"Deschutes County, OR"	"41017"	16	879792	Unreliable	0.0180%
	"Douglas County, OR"	"41019"	40	539459	7.4148	0.0451%
	"Gilliam County, OR"	"41021"	Suppressed	9447	Suppressed	Suppressed
	"Grant County, OR"	"41023"	Suppressed	35996	Suppressed	Suppressed
	"Harney County, OR"	"41025"	Suppressed	36053	Suppressed	Suppressed
	"Hood River County, OR"	"41027"	Suppressed	115306	Suppressed	Suppressed
	"Jackson County, OR"	"41029"	29	1065405	2.7220	0.0327%
	"Jefferson County, OR"	"41031"	Suppressed	112841	Suppressed	Suppressed
	"Josephine County, OR"	"41033"	20	423906	4.7180	0.0226%
	"Klamath County, OR"	"41035"	23	330759	6.9537	0.0259%
	"Lake County, OR"	"41037"	Suppressed	39187	Suppressed	Suppressed
	"Lane County, OR"	"41039"	58	1821711	3.1838	0.0654%
	"Lincoln County, OR"	"41041"	Suppressed	236520	Suppressed	Suppressed
	"Linn County, OR"	"41043"	17	606564	Unreliable	0.0192%
	"Malheur County, OR"	"41045"	Suppressed	152137	Suppressed	Suppressed
	"Marion County, OR"	"41047"	47	1658026	2.8347	0.0530%
	"Morrow County, OR"	"41049"	Suppressed	56153	Suppressed	Suppressed
	"Multnomah County, OR"	"41051"	151	3940462	3.8320	0.1703%
	"Polk County, OR"	"41053"	Suppressed	399620	Suppressed	Suppressed
	"Sherman County, OR"	"41055"	Suppressed	8589	Suppressed	Suppressed
	"Tillamook County, OR"	"41057"	Suppressed	129145	Suppressed	Suppressed
	"Umatilla County, OR"	"41059"	18	383397	Unreliable	0.0203%
	"Union County, OR"	"41061"	Suppressed	129442	Suppressed	Suppressed
	"Wallowa County, OR"	"41063"	Suppressed	34487	Suppressed	Suppressed
	"Wasco County, OR"	"41065"	Suppressed	129319	Suppressed	Suppressed
	"Washington County, OR"	"41067"	37	2864056	1.2919	0.0417%
	"Wheeler County, OR"	"41069"	Suppressed	6815	Suppressed	Suppressed
	"Yamhill County, OR"	"41071"	10	515899	Unreliable	0.0113%
	"Adams County, PA"	"42001"	Suppressed	510071	Suppressed	Suppressed
	"Allegheny County, PA"	"42003"	515	6141654	8.3854	0.5809%
	"Armstrong County, PA"	"42005"	10	335072	Unreliable	0.0113%
	"Beaver County, PA"	"42007"	24	841947	2.8505	0.0271%
	"Bedford County, PA"	"42009"	Suppressed	243392	Suppressed	Suppressed
	"Berks County, PA"	"42011"	77	2075149	3.7106	0.0869%
	"Blair County, PA"	"42013"	Suppressed	625969	Suppressed	Suppressed
	"Bradford County, PA"	"42015"	Suppressed	307004	Suppressed	Suppressed
	"Bucks County, PA"	"42017"	58	3135768	1.8496	0.0654%
	"Butler County, PA"	"42019"	12	932192	Unreliable	0.0135%
	"Cambria County, PA"	"42021"	42	682428	6.1545	0.0474%
	"Cameron County, PA"	"42023"	Suppressed	23692	Suppressed	Suppressed
	"Carbon County, PA"	"42025"	Suppressed	320634	Suppressed	Suppressed
	"Centre County, PA"	"42027"	Suppressed	798849	Suppressed	Suppressed
	"Chester County, PA"	"42029"	40	2573796	1.5541	0.0451%
	"Clarion County, PA"	"42031"	Suppressed	194445	Suppressed	Suppressed
	"Clearfield County, PA"	"42033"	Suppressed	403640	Suppressed	Suppressed
	"Clinton County, PA"	"42035"	Suppressed	197371	Suppressed	Suppressed
	"Columbia County, PA"	"42037"	Suppressed	332943	Suppressed	Suppressed
	"Crawford County, PA"	"42039"	Suppressed	433451	Suppressed	Suppressed
	"Cumberland County, PA"	"42041"	18	1229884	Unreliable	0.0203%
	"Dauphin County, PA"	"42043"	100	1364790	7.3271	0.1128%
	"Delaware County, PA"	"42045"	220	2816925	7.8099	0.2481%
	"Elk County, PA"	"42047"	Suppressed	154222	Suppressed	Suppressed
	"Erie County, PA"	"42049"	55	1387530	3.9639	0.0620%
	"Fayette County, PA"	"42051"	30	666950	4.4981	0.0338%
	"Forest County, PA"	"42053"	Suppressed	37177	Suppressed	Suppressed
	"Franklin County, PA"	"42055"	21	766700	2.7390	0.0237%
	"Fulton County, PA"	"42057"	Suppressed	73161	Suppressed	Suppressed
	"Greene County, PA"	"42059"	Suppressed	187167	Suppressed	Suppressed
	"Huntingdon County, PA"	"42061"	Suppressed	228237	Suppressed	Suppressed
	"Indiana County, PA"	"42063"	14	433734	Unreliable	0.0158%
	"Jefferson County, PA"	"42065"	Suppressed	221911	Suppressed	Suppressed
	"Juniata County, PA"	"42067"	Suppressed	123678	Suppressed	Suppressed
	"Lackawanna County, PA"	"42069"	20	1060649	1.8856	0.0226%
	"Lancaster County, PA"	"42071"	55	2680947	2.0515	0.0620%
	"Lawrence County, PA"	"42073"	19	440549	Unreliable	0.0214%
	"Lebanon County, PA"	"42075"	15	687529	Unreliable	0.0169%
	"Lehigh County, PA"	"42077"	77	1803241	4.2701	0.0869%
	"Luzerne County, PA"	"42079"	62	1591107	3.8967	0.0699%
	"Lycoming County, PA"	"42081"	44	578399	7.6072	0.0496%
	"Mc Kean County, PA"	"42083"	Suppressed	211158	Suppressed	Suppressed
	"Mercer County, PA"	"42085"	26	568976	4.5696	0.0293%
	"Mifflin County, PA"	"42087"	Suppressed	232398	Suppressed	Suppressed
	"Monroe County, PA"	"42089"	24	834003	2.8777	0.0271%
	"Montgomery County, PA"	"42091"	73	4096297	1.7821	0.0823%
	"Montour County, PA"	"42093"	Suppressed	92354	Suppressed	Suppressed
	"Northampton County, PA"	"42095"	32	1506957	2.1235	0.0361%
	"Northumberland County, PA"	"42097"	Suppressed	465836	Suppressed	Suppressed
	"Perry County, PA"	"42099"	Suppressed	228828	Suppressed	Suppressed
	"Philadelphia County, PA"	"42101"	1384	7829639	17.6764	1.5611%
	"Pike County, PA"	"42103"	Suppressed	279984	Suppressed	Suppressed
	"Potter County, PA"	"42105"	Suppressed	85483	Suppressed	Suppressed
	"Schuylkill County, PA"	"42107"	21	723449	2.9028	0.0237%
	"Snyder County, PA"	"42109"	Suppressed	201901	Suppressed	Suppressed
	"Somerset County, PA"	"42111"	Suppressed	377822	Suppressed	Suppressed
	"Sullivan County, PA"	"42113"	Suppressed	31244	Suppressed	Suppressed
	"Susquehanna County, PA"	"42115"	Suppressed	207719	Suppressed	Suppressed
	"Tioga County, PA"	"42117"	Suppressed	208874	Suppressed	Suppressed
	"Union County, PA"	"42119"	Suppressed	224855	Suppressed	Suppressed
	"Venango County, PA"	"42121"	Suppressed	264899	Suppressed	Suppressed
	"Warren County, PA"	"42123"	Suppressed	201668	Suppressed	Suppressed
	"Washington County, PA"	"42125"	35	1039933	3.3656	0.0395%
	"Wayne County, PA"	"42127"	10	256062	Unreliable	0.0113%
	"Westmoreland County, PA"	"42129"	43	1787798	2.4052	0.0485%
	"Wyoming County, PA"	"42131"	Suppressed	138777	Suppressed	Suppressed
	"York County, PA"	"42133"	100	2212409	4.5200	0.1128%
	"Bristol County, RI"	"44001"	Suppressed	245343	Suppressed	Suppressed
	"Kent County, RI"	"44003"	Suppressed	823338	Suppressed	Suppressed
	"Newport County, RI"	"44005"	Suppressed	413422	Suppressed	Suppressed
	"Providence County, RI"	"44007"	111	3165077	3.5070	0.1252%
