"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Hardin County, IL"	"17069"	Suppressed	4046	Suppressed
	"Henderson County, IL"	"17071"	Suppressed	6795	Suppressed
	"Henry County, IL"	"17073"	Suppressed	49328	Suppressed
	"Iroquois County, IL"	"17075"	Suppressed	27876	Suppressed
	"Jackson County, IL"	"17077"	Suppressed	58284	Suppressed
	"Jasper County, IL"	"17079"	Suppressed	9578	Suppressed
	"Jefferson County, IL"	"17081"	Suppressed	38179	Suppressed
	"Jersey County, IL"	"17083"	Suppressed	21941	Suppressed
	"Jo Daviess County, IL"	"17085"	Suppressed	21594	Suppressed
	"Johnson County, IL"	"17087"	Suppressed	12900	Suppressed
	"Kane County, IL"	"17089"	15	534667	Unreliable
	"Kankakee County, IL"	"17091"	11	109605	Unreliable
	"Kendall County, IL"	"17093"	Suppressed	126218	Suppressed
	"Knox County, IL"	"17095"	Suppressed	50638	Suppressed
	"Lake County, IL"	"17097"	20	703520	2.8428
	"LaSalle County, IL"	"17099"	Suppressed	110067	Suppressed
	"Lawrence County, IL"	"17101"	Suppressed	16168	Suppressed
	"Lee County, IL"	"17103"	Suppressed	34406	Suppressed
	"Livingston County, IL"	"17105"	Suppressed	36518	Suppressed
	"Logan County, IL"	"17107"	Suppressed	29245	Suppressed
	"McDonough County, IL"	"17109"	Suppressed	30823	Suppressed
	"McHenry County, IL"	"17111"	Suppressed	309122	Suppressed
	"McLean County, IL"	"17113"	Suppressed	172290	Suppressed
	"Macon County, IL"	"17115"	10	105801	Unreliable
	"Macoupin County, IL"	"17117"	Suppressed	45446	Suppressed
	"Madison County, IL"	"17119"	Suppressed	265428	Suppressed
	"Marion County, IL"	"17121"	Suppressed	37902	Suppressed
	"Marshall County, IL"	"17123"	Suppressed	11730	Suppressed
	"Mason County, IL"	"17125"	Suppressed	13715	Suppressed
	"Massac County, IL"	"17127"	Suppressed	14344	Suppressed
	"Menard County, IL"	"17129"	Suppressed	12245	Suppressed
	"Mercer County, IL"	"17131"	Suppressed	15618	Suppressed
	"Monroe County, IL"	"17133"	Suppressed	34097	Suppressed
	"Montgomery County, IL"	"17135"	Suppressed	28790	Suppressed
	"Morgan County, IL"	"17137"	Suppressed	33798	Suppressed
	"Moultrie County, IL"	"17139"	Suppressed	14688	Suppressed
	"Ogle County, IL"	"17141"	Suppressed	51063	Suppressed
	"Peoria County, IL"	"17143"	14	183011	Unreliable
	"Perry County, IL"	"17145"	Suppressed	21285	Suppressed
	"Piatt County, IL"	"17147"	Suppressed	16445	Suppressed
	"Pike County, IL"	"17149"	Suppressed	15821	Suppressed
	"Pope County, IL"	"17151"	Suppressed	4325	Suppressed
	"Pulaski County, IL"	"17153"	Suppressed	5509	Suppressed
	"Putnam County, IL"	"17155"	Suppressed	5727	Suppressed
	"Randolph County, IL"	"17157"	Suppressed	32423	Suppressed
	"Richland County, IL"	"17159"	Suppressed	15901	Suppressed
	"Rock Island County, IL"	"17161"	20	144808	13.8114
	"St. Clair County, IL"	"17163"	47	262479	17.9062
	"Saline County, IL"	"17165"	Suppressed	24102	Suppressed
	"Sangamon County, IL"	"17167"	13	196452	Unreliable
	"Schuyler County, IL"	"17169"	Suppressed	7035	Suppressed
	"Scott County, IL"	"17171"	Suppressed	5002	Suppressed
	"Shelby County, IL"	"17173"	Suppressed	21719	Suppressed
	"Stark County, IL"	"17175"	Suppressed	5434	Suppressed
	"Stephenson County, IL"	"17177"	Suppressed	45054	Suppressed
	"Tazewell County, IL"	"17179"	Suppressed	133526	Suppressed
	"Union County, IL"	"17181"	Suppressed	17000	Suppressed
	"Vermilion County, IL"	"17183"	10	77909	Unreliable
	"Wabash County, IL"	"17185"	Suppressed	11489	Suppressed
	"Warren County, IL"	"17187"	Suppressed	17167	Suppressed
	"Washington County, IL"	"17189"	Suppressed	14030	Suppressed
	"Wayne County, IL"	"17191"	Suppressed	16495	Suppressed
	"White County, IL"	"17193"	Suppressed	13938	Suppressed
	"Whiteside County, IL"	"17195"	Suppressed	56118	Suppressed
	"Will County, IL"	"17197"	24	692661	3.4649
	"Williamson County, IL"	"17199"	Suppressed	67328	Suppressed
	"Winnebago County, IL"	"17201"	20	284778	7.0230
	"Woodford County, IL"	"17203"	Suppressed	38726	Suppressed
	"Adams County, IN"	"18001"	Suppressed	35491	Suppressed
	"Allen County, IN"	"18003"	40	372877	10.7274
	"Bartholomew County, IN"	"18005"	Suppressed	82040	Suppressed
	"Benton County, IN"	"18007"	Suppressed	8613	Suppressed
	"Blackford County, IN"	"18009"	Suppressed	11976	Suppressed
	"Boone County, IN"	"18011"	Suppressed	65875	Suppressed
	"Brown County, IN"	"18013"	Suppressed	15035	Suppressed
	"Carroll County, IN"	"18015"	Suppressed	20039	Suppressed
	"Cass County, IN"	"18017"	Suppressed	37994	Suppressed
	"Clark County, IN"	"18019"	Suppressed	116973	Suppressed
	"Clay County, IN"	"18021"	Suppressed	26198	Suppressed
	"Clinton County, IN"	"18023"	Suppressed	32317	Suppressed
	"Crawford County, IN"	"18025"	Suppressed	10566	Suppressed
